Step,Name,Mass,Density,Temperature,Pressure,Volume,Crystallized_frac,y_bottom,y_top
28,Total solids,1.55,3.01,930,3,0.514950166112957,0.185851318944844,0,0
28,System,104.65,2.65,930,3,39.4905660377359,0.185851318944844,0,0
28,clinopyroxene,32.83,3.28089552238806,930,3,10.0064143390046,0.185851318944844,72.9245264229677,98.2154658969191
28,spinel,0.98,4.67204081632653,930,3,0.209758441444983,0.185851318944844,98.2154658969191,98.7456246398024
28,feldspar,1.34,2.7,930,3,0.496296296296296,0.185851318944844,98.7456246398024,100
29,Liquid,54.3,2.25,920,3,24.1333333333333,0.182254196642686,0,61.0788329067382
29,olivine,13.68,3.29,920,3,4.1580547112462,0.182254196642686,61.0788329067382,71.6024155970124
29,Total solids,1.52,3.03,920,3,0.501650165016502,0.182254196642686,0,0
29,System,104.65,2.65,920,3,39.4905660377359,0.182254196642686,0,0
29,clinopyroxene,33.17,3.28071751582755,920,3,10.1105931370117,0.182254196642686,71.6024155970124,97.1912234203638
29,spinel,1.21,4.69090909090909,920,3,0.257945736434109,0.182254196642686,97.1912234203638,97.8440559287063
29,feldspar,2.3,2.7,920,3,0.851851851851852,0.182254196642686,97.8440559287063,100
30,Liquid,52.87,2.24,910,3,23.6026785714286,0.172661870503597,0,59.8250778890164
30,olivine,13.68,3.29,910,3,4.1580547112462,0.172661870503597,59.8250778890164,70.3643879175069
30,Total solids,1.44,3.02,910,3,0.47682119205298,0.172661870503597,0,0
30,System,104.66,2.66,910,3,39.3458646616541,0.172661870503597,0,0
30,clinopyroxene,33.46,3.28060669456067,910,3,10.199332963466,0.172661870503597,70.3643879175069,96.2163642984418
30,spinel,1.43,4.70608391608392,910,3,0.303861984932464,0.172661870503597,96.2163642984418,96.9865551418701
30,feldspar,3.21,2.7,910,3,1.18888888888889,0.172661870503597,96.9865551418701,100
31,Liquid,51.34,2.24,900,3,22.9196428571429,0.184652278177458,0,58.3300839148559
31,olivine,13.68,3.29,900,3,4.1580547112462,0.184652278177458,58.3300839148559,68.9122592891098
31,Total solids,1.54,2.96,900,3,0.52027027027027,0.184652278177458,0,0
31,System,104.67,2.66,900,3,39.3496240601504,0.184652278177458,0,0
31,clinopyroxene,33.46,3.28,900,3,10.2012195121951,0.184652278177458,68.9122592891098,94.8741817278255
31,spinel,1.63,4.72104294478528,900,3,0.345262692812496,0.184652278177458,94.8741817278255,95.7528691476055
31,feldspar,4.33,2.69741339491917,900,3,1.60524152810836,0.184652278177458,95.7528691476055,99.8381803202877
31,orthopyroxene,0.22,3.46,900,3,0.0635838150289017,0.184652278177458,99.8381803202877,100
32,Liquid,49.47,2.23,890,3,22.1838565022422,0.225419664268585,0,56.4731403995158
32,olivine,13.68,3.29,890,3,4.1580547112462,0.225419664268585,56.4731403995158,67.0582434663943
32,Total solids,1.88,2.51,890,3,0.749003984063745,0.225419664268585,0,0
32,System,104.67,2.66,890,3,39.3496240601504,0.225419664268585,0,0
32,clinopyroxene,33.46,3.29,890,3,10.1702127659574,0.225419664268585,67.0582434663943,92.9484151489786
32,spinel,1.82,4.73043956043956,890,3,0.384742258461681,0.225419664268585,92.9484151489786,93.9278482596074
32,feldspar,5.66,2.69765017667845,890,3,2.0981223024881,0.225419664268585,93.9278482596074,99.2690095383864
32,orthopyroxene,0.51,3.46588235294118,890,3,0.147148676171079,0.225419664268585,99.2690095383864,99.6436039128213
32,water,0.07,0.5,890,3,0.14,0.225419664268585,99.6436039128213,100
33,Liquid,47.32,2.22,880,3,21.3153153153153,0.267386091127098,0,54.1314172054393
33,olivine,13.68,3.29,880,3,4.1580547112462,0.267386091127098,54.1314172054393,64.6910261536488
33,Total solids,2.23,2.02,880,3,1.1039603960396,0.267386091127098,0,0
33,System,104.68,2.66,880,3,39.3533834586466,0.267386091127098,0,0
33,clinopyroxene,33.46,3.29,880,3,10.1702127659574,0.267386091127098,64.6910261536488,90.5188416073834
33,spinel,1.99,4.73904522613065,880,3,0.419915806886021,0.267386091127098,90.5188416073834,91.5852409262513
33,feldspar,7.2,2.69786111111111,880,3,2.66878082431556,0.267386091127098,91.5852409262513,98.3627568153595
33,orthopyroxene,0.81,3.47740740740741,880,3,0.232932154649057,0.267386091127098,98.3627568153595,98.9543008510609
33,water,0.21,0.51,880,3,0.411764705882353,0.267386091127098,98.9543008510609,100
34,Liquid,45.34,2.22,870,3,20.4234234234234,0.262589928057554,0,51.8644019303402
34,olivine,13.68,3.29,870,3,4.1580547112462,0.262589928057554,51.8644019303402,62.4236023308512
34,Total solids,2.19,1.68,870,3,1.30357142857143,0.262589928057554,0,0
34,System,104.68,2.66,870,3,39.3533834586466,0.262589928057554,0,0
34,clinopyroxene,33.46,3.29,870,3,10.1702127659574,0.262589928057554,62.4236023308512,88.2504185151419
34,spinel,2.15,4.74744186046512,870,3,0.452875477613403,0.262589928057554,88.2504185151419,89.4004762360428
34,feldspar,8.63,2.69668597914253,870,3,3.20022430002922,0.262589928057554,89.4004762360428,97.5273076649794
34,orthopyroxene,1.07,3.48485981308411,870,3,0.307042480154473,0.262589928057554,97.5273076649794,98.3070287856881
34,water,0.34,0.51,870,3,0.666666666666667,0.262589928057554,98.3070287856881,100
35,Liquid,43.52,2.21,860,3,19.6923076923077,0.261390887290168,0,49.8875306226173
35,olivine,13.68,3.3,860,3,4.14545454545455,0.261390887290168,49.8875306226173,60.3894227224354
35,Total solids,2.18,1.46,860,3,1.49315068493151,0.261390887290168,0,0
35,System,104.69,2.66,860,3,39.3571428571429,0.261390887290168,0,0
35,clinopyroxene,33.46,3.29,860,3,10.1702127659574,0.261390887290168,60.3894227224354,86.1541430755723
35,spinel,2.29,4.7561135371179,860,3,0.48148556213561,0.261390887290168,86.1541430755723,87.3739150850647
35,feldspar,9.97,2.68865596790371,860,3,3.70817245457157,0.261390887290168,87.3739150850647,96.7680180907601
35,orthopyroxene,1.3,3.49530769230769,860,3,0.371927199102093,0.261390887290168,96.7680180907601,97.7102402936885
35,water,0.47,0.52,860,3,0.903846153846154,0.261390887290168,97.7102402936885,100
36,Liquid,41.81,2.21,850,3,18.9185520361991,0.262589928057554,0,47.9146233330307
36,olivine,13.68,3.3,850,3,4.14545454545455,0.262589928057554,47.9146233330307,58.4137298560667
